CountryRegionName,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,BikeBuyer,AvgMonthSpend,Age
Australia,Bachelors,Clerical,M,M,1,3,0,1,81916,1.0,50.97,37
Canada,Partial College,Clerical,M,M,1,2,1,2,81076,1.0,53.11,52
United States,Bachelors,Clerical,F,S,0,3,0,0,86387,1.0,54.08,39
United Kingdom,Partial College,Skilled Manual,M,M,1,2,1,2,61481,1.0,56.93,47
Germany,Partial College,Skilled Manual,M,S,1,1,0,0,51804,1.0,55.41,49
United States,High School,Skilled Manual,F,M,1,2,2,2,61944,1.0,49.31,49
United States,Partial College,Manual,M,S,1,1,0,0,34919,0.0,56.01,53
Australia,Partial College,Skilled Manual,F,M,0,1,0,0,61832,1.0,49.29,27
France,Partial College,Clerical,F,M,1,0,0,2,83834,1.0,50.05,48
France,High School,Manual,M,S,0,1,0,0,26880,0.0,54.15,48
United States,Partial College,Clerical,F,S,0,1,0,0,77258,0.0,54.02,26
United States,Bachelors,Management,M,M,1,3,0,0,102698,0.0,58.29,43
United States,Bachelors,Management,F,M,1,1,1,2,108198,1.0,52.66,40
Australia,Bachelors,Professional,M,M,1,2,0,2,133762,0.0,52.5,64
United Kingdom,Partial High School,Manual,M,S,0,1,0,0,30526,0.0,49.61,33
United Kingdom,Partial High School,Manual,M,S,0,1,0,0,30526,1.0,49.04,33
United States,Partial College,Skilled Manual,F,M,1,2,0,2,56353,1.0,50.48,53
United States,High School,Clerical,F,S,1,3,1,1,79019,1.0,51.0,59
Canada,Partial College,Skilled Manual,M,S,0,2,0,0,55387,0.0,58.69,31
Germany,Bachelors,Management,M,M,1,2,0,2,113276,0.0,52.3,43
France,Partial College,Management,M,S,1,1,0,1,109259,0.0,50.38,61
United States,High School,Clerical,F,M,1,0,0,2,83845,1.0,53.22,44
Germany,High School,Skilled Manual,F,M,1,0,2,2,59527,0.0,51.88,48
Canada,Bachelors,Management,M,S,1,1,0,1,108360,0.0,49.72,63
United States,Partial College,Clerical,M,M,0,1,0,0,87504,1.0,48.76,28
Australia,Bachelors,Skilled Manual,F,M,0,0,0,0,55461,1.0,52.03,31
United States,Bachelors,Professional,F,S,1,2,0,0,137464,1.0,49.89,35
France,High School,Clerical,M,M,1,2,0,1,87676,1.0,51.15,34
Germany,Bachelors,Management,M,M,1,3,0,2,104187,1.0,53.53,58
Australia,Bachelors,Clerical,M,S,0,1,0,0,78222,0.0,50.59,41
Australia,Graduate Degree,Clerical,F,M,1,2,0,1,77383,1.0,49.29,38
France,High School,Skilled Manual,F,M,1,1,2,2,60700,0.0,49.0,40
France,High School,Manual,F,S,0,0,0,0,30913,1.0,54.71,44
United States,Partial College,Clerical,F,S,1,2,0,0,86952,1.0,55.64,46
Canada,Graduate Degree,Skilled Manual,M,M,1,2,1,2,58567,0.0,50.55,46
United States,Partial College,Clerical,M,M,0,0,0,0,77478,0.0,50.16,27
United States,Bachelors,Clerical,M,M,1,2,0,1,78406,0.0,51.02,36
Germany,Partial College,Clerical,M,S,0,1,0,0,85318,1.0,52.17,34
France,High School,Skilled Manual,F,S,0,0,0,0,52928,1.0,52.31,28
Australia,Bachelors,Clerical,F,S,0,2,0,0,79224,1.0,53.13,37
United Kingdom,Partial College,Manual,M,M,0,0,0,1,33076,0.0,48.89,41
France,High School,Skilled Manual,F,M,1,1,0,2,56641,0.0,52.46,39
United States,High School,Manual,M,M,1,0,0,1,27203,0.0,50.21,42
France,High School,Clerical,F,S,0,3,0,0,77098,1.0,53.97,38
France,Bachelors,Management,M,M,1,3,2,2,103200,0.0,50.85,36
Australia,Bachelors,Skilled Manual,F,S,0,2,0,0,53784,0.0,47.53,40
France,Partial College,Manual,F,S,0,1,0,0,25826,1.0,50.48,50
United States,High School,Manual,M,M,1,0,1,1,30925,0.0,50.57,42
Australia,Partial High School,Manual,F,M,1,1,1,2,30288,1.0,48.1,53
United States,Bachelors,Manual,M,S,0,0,0,0,34685,1.0,51.99,39
United States,Graduate Degree,Skilled Manual,F,M,0,1,1,1,58213,1.0,51.43,35
Germany,Partial College,Management,M,S,0,0,0,0,108342,1.0,55.52,29
Australia,Bachelors,Professional,F,M,1,2,1,1,130385,1.0,50.76,37
France,Partial College,Skilled Manual,F,S,0,2,0,0,58227,1.0,47.68,40
France,Partial College,Skilled Manual,M,S,0,1,0,0,52156,1.0,57.1,30
Australia,Graduate Degree,Professional,M,S,1,2,0,0,131458,0.0,46.25,38
United States,Partial College,Manual,M,S,0,1,0,0,33510,0.0,51.34,26
United States,High School,Skilled Manual,F,S,1,1,0,1,56785,0.0,51.29,58
Germany,Partial College,Skilled Manual,F,S,0,1,0,0,58201,1.0,49.64,31
United States,Bachelors,Clerical,F,M,1,2,0,1,82359,1.0,50.98,39
United States,Bachelors,Clerical,F,M,1,2,0,1,82359,0.0,58.85,39
United States,Partial High School,Skilled Manual,F,M,1,2,1,2,55654,1.0,52.81,59
United States,High School,Manual,M,M,1,1,1,2,33167,1.0,53.16,44
Australia,Partial College,Management,F,S,1,3,0,1,107883,1.0,49.8,58
United States,High School,Clerical,F,M,1,1,2,2,80056,1.0,59.05,67
United Kingdom,Partial High School,Skilled Manual,M,S,0,2,0,0,54577,1.0,54.19,39
United States,Bachelors,Manual,M,M,0,0,1,1,36070,0.0,55.8,38
Australia,Bachelors,Skilled Manual,M,M,1,2,1,2,54049,0.0,48.95,40
Australia,Partial College,Management,M,S,0,1,0,0,112726,1.0,55.26,25
United Kingdom,Partial College,Manual,M,M,1,1,0,2,29749,1.0,51.75,53
